,Gender,Discipline,Career Stage,EPAO
1494,m,"ecology, marine biology",professor,Ocean
1495,m,physical oceanography,professor,Ocean
1496,m,atmospheric dynamics,professor,Atmosphere
1497,f,physical oceanography,professor,Ocean
1498,f,"ecology, marine biology",professor,Ocean
1499,m,physical oceanography,professor,Ocean
1500,m,"ecology, physical oceanography",professor,Ocean
1501,f,biological oceanography,professor,Ocean
1502,m,"paleoclimate, geochemistry",professor,Earth
1503,m,"gis/engineering, geology, ecology",professor,Earth
1504,f,"geology, geobiology",professor,Earth
1505,m,physical oceanography,professor,Ocean
1506,m,ecology,professor,
1507,m,physical oceanography,professor,Ocean
1508,m,"climate dynamics, hydrology",professor,
1509,m,"resource management, sustainability",professor,
1510,m,"geochemistry, geology",professor,Earth
1511,m,chemical oceanography,professor,Ocean
1512,f,atmospheric dynamics,professor,Atmosphere
1513,m,planetary science,assistant professor,Planet
1514,f,"atmospheric dynamics, climate dynamics",assistant professor,Atmosphere
1515,m,glaciology,associate professor,
1516,m,"climate dynamics, glaciology",associate professor,
1517,f,atmospheric dynamics,associate professor,Atmosphere
1518,m,planetary science,associate professor,Planet
1519,f,"climate dynamics, biogeochemistry",associate professor,Earth
1520,m,"atmospheric dynamics, climate dynamics, biogeochemistry",associate professor,Atmosphere
1521,f,planetary science,associate professor,Planet
1522,f,planetary science,associate professor,Planet
1523,m,planetary science,professor,Planet
1524,m,planetary science,professor,Planet
1525,m,planetary science,professor,Planet
1526,m,"atmospheric dynamics, climate dynamics",professor,Atmosphere
1527,m,planetary science,professor,Planet
1528,m,planetary science,professor,Planet
1529,m,planetary science,professor,Planet
1530,m,planetary science,professor,Planet
1531,f,atmospheric chemistry,professor,Atmosphere
1532,f,planetary science,professor,Planet
1533,m,"planetary science, geobiology, atmospheric chemistry",professor,Planet
1534,m,planetary science,professor,Planet
1535,m,climate dynamics,professor,
1536,m,planetary science,professor,Planet
1537,m,"atmospheric dynamics, atmospheric chemistry",professor,Atmosphere
1538,m,planetary science,professor,Planet
1539,f,"atmospheric chemistry, biogeochemistry",professor,Atmosphere
1540,m,paleontology,professor,
1541,m,"geobiology, geochemistry, biogeochemistry, chemical oceanography",associate professor,Ocean
1542,m,"geobiology, paleoceanography, geochemistry, geomorphology, hydrology, geology",professor,Ocean
1543,m,"geology, geochemistry",assistant professor,Earth
1544,f,geophysics,assistant professor,Earth
1545,f,"geobiology, geochemistry, geology",assistant professor,Earth
1546,f,"paleocliamte, geochemistry, chemical oceanography, paleoceanography",assistant professor,Ocean
1547,f,geobiology,assistant professor,Earth
1548,m,geophysics,assistant professor,Earth
1549,f,"biogeochemistry, geochemistry, geobiology",associate professor,Earth
1550,m,paleontology,associate professor,
1551,m,geophysics,associate professor,Earth
1552,f,"paleoclimate, geochemistry, geology",associate professor,Earth
1553,m,"geology, paleoclimate, geochemistry",associate professor,Earth
1554,m,paleontology,associate professor,
1555,m,physical oceanography,professor,Ocean
1556,m,paleontology,professor,
1557,m,geochemistry,professor,Earth
1558,f,"hydrology, geology, geochemistry, paleoclimate",professor,Earth
1559,f,"geology, geohpysics, geomorphology",professor,Earth
1560,f,"paleoclimate, geochemistry, chemical oceanography",professor,Ocean
1561,f,"paleoclimate, geochemistry, chemical oceanography",professor,Ocean
1562,f,geochemistry,professor,Earth
1563,f,"geochemistry, geophysics",professor,Earth
1564,m,"geology, geochemistry, paleoclimate",professor,Earth
1565,m,"geology, geomorphology, geochemistry",professor,Earth
1566,m,"paleoclimate, geology, paleoceanography",professor,Ocean
1567,m,geophysics,professor,Earth
1568,m,geophysics,professor,Earth
1569,m,"biogeochemistry, geology, geochemistry, paleoclimate, geobiology",professor,Earth
1570,m,"geology, geochemistry",professor,Earth
1571,m,"geology, geophysics",professor,Earth
1572,m,"geology, geochemistry",professor,Earth
1573,m,geophysics,assistant professor,Earth
1574,f,,assistant professor,
1575,m,"hydrology, geology",assistant professor,Earth
1576,f,"hydrology, geology",assistant professor,Earth
1577,f,geophysics,assistant professor,Earth
1578,m,land surface processes,assistant professor,
1579,m,geochemistry,assistant professor,Earth
1580,m,geobiology,associate professor,Earth
1581,m,geophysics,associate professor,Earth
1582,f,geobiology,associate professor,Earth
1583,m,"geochemistry, paleoclimate",professor,Earth
1584,m,geology,professor,Earth
1585,m,paleontology,professor,
1586,m,geology,professor,Earth
1587,m,"paleoclimate, geochemistry",professor,Earth
1588,m,paleontology,professor,
1589,m,"biogeochemistry, chemical oceanography, biological oceanography",professor,Ocean
1590,m,geology,professor,Earth
1591,m,geochemistry,professor,Earth
1592,m,geology,professor,Earth
1593,f,paleoceanography,professor,Ocean
1594,m,geophhysics,professor,Earth
1595,m,geochemistry,professor,Earth
1596,m,geology,professor,Earth
1597,m,geology,professor,Earth
1598,f,geology,professor,Earth
1600,f,geobiology,assistant professor,Earth
1601,m,ecology (soil science),assistant professor,
1602,m,ecology,assistant professor,
1603,m,resource management,assistant professor,
1604,f,"hydrology, resource management",assistant professor,
1605,f,climate dynamics,assistant professor,
1606,f,"hydrology, resource management",assistant professor,
1607,f,resource management (agriculture),assistant professor,
1608,m,"hydrology, resource management",associate professor,
1609,m,"biogeochemistry, hydrology, geobiology",associate professor,Earth
1610,m,resource management,associate professor,
1611,m,resource management,associate professor,
1612,m,resource management,associate professor,
1613,m,"atmospheric dynamics, biogeochemistry, ecology, climate dynamics",associate professor,Atmosphere
1614,f,"biogeochemistry, geochemistry",associate professor,Earth
1615,f,"ecology, atmospheric dynamics, biogeochemistry",associate professor,Atmosphere
1616,m,"hydrology, resource management",professor,
1617,m,ecology (soil science),professor,
1618,m,biogeochemistry,professor,Earth
1619,m,atmospheric chemistry,professor,Atmosphere
1620,m,"hydrology, ecoogy",professor,
1621,m,"biogeochemistry, ecology (soil science), geochemistry",professor,Earth
1622,m,"hydrology, geobiology",professor,Earth
1623,m,resource management,professor,
1624,m,"hydrology, biogeochemistry, geochemistry",professor,Earth
1625,m,"biogeochemistry, resource management, ecology (soil science)",professor,Earth
1626,f,geopolitics/impacts,assistant professor,Earth
1627,m,"paleoclimate, paleobiology, geochemistry",assistant professor,Earth
1628,m,gis/engineering,assistant professor,
1629,m,"gis/engineering, geopolitics/impacts",assistant professor,Earth
1630,m,ecology,assistant professor,
1631,f,geopolitics/impacts,assistant professor,Earth
1632,m,ecology,associate professor,
1633,m,ecology,associate professor,
1634,f,"climate dynamics, resource management",associate professor,
1635,m,geopolitics/impacts,associate professor,Earth
1636,m,hydrology,professor,
1637,f,geopolitics/impacts,professor,Earth
1638,f,resource management,professor,
1639,m,"paleoclimate, paleobiology",professor,
1640,f,"climate dynamics, ecology",professor,
1641,m,geopolitics/impacts,professor,Earth
1642,m,geophysics,professor,Earth
1643,m,geology,assistant professor,Earth
1644,m,geology,assistant professor,Earth
1645,m,geology,assistant professor,Earth
1646,m,geochemistry,assistant professor,Earth
1647,f,glaciology,assistant professor,
1648,m,geology,assistant professor,Earth
1649,m,geology,assistant professor,Earth
1650,m,geochemistry,assistant professor,Earth
1651,m,geomorphology,assistant professor,Earth
1652,m,geology,assistant professor,Earth
1653,f,geochemistry,associate professor,Earth
1654,f,geophysics,associate professor,Earth
1655,m,geology,associate professor,Earth
1656,f,geochemistry,associate professor,Earth
1657,f,planetary science,professor,Planet
1658,m,geophysics,professor,Earth
1659,m,geology,professor,Earth
1660,m,geophysics,professor,Earth
1661,m,geophysics,professor,Earth
1662,f,geochemistry,professor,Earth
1663,m,geology,professor,Earth
1664,m,geophysics,professor,Earth
1665,f,geophysics,assistant professor,Earth
1666,m,geophysics,assistant professor,Earth
1667,m,geology,assistant professor,Earth
1668,f,geophysics,assistant professor,Earth
1669,m,hydrology,assistant professor,
1670,f,geology,assistant professor,Earth
1671,m,geophysics,assistant professor,Earth
1672,m,geobiology,assistant professor,Earth
1673,m,paleobiology,associate professor,
1674,m,"geology, geochemistry",associate professor,Earth
1675,m,geology,associate professor,Earth
1676,m,geochemistry,associate professor,Earth
1677,f,"geology, paleoclimate",professor,Earth
1678,m,"hydrology, geology",professor,Earth
1679,m,geology,professor,Earth
1680,m,"geochemistry, geology",professor,Earth
1681,f,"geochemistry, planetary science",professor,Planet
1682,m,geochemistry,professor,Earth
1683,m,"geology, hydrology",professor,Earth
1684,m,paleontology,professor,
1685,m,climate dynamics,assistant professor,
1686,m,atmospheric dynamics,assistant professor,Atmosphere
1687,f,climate dynamics,assistant professor,
1688,f,atmospheric dynamics,assistant professor,Atmosphere
1689,m,atmospheric dynamics,assistant professor,Atmosphere
1690,m,"climate dynamics, hydrology",associate professor,
1691,m,atmospheric dynamics,associate professor,Atmosphere
1692,m,atmospheric dynamics,associate professor,Atmosphere
1693,m,atmospheric dynamics,associate professor,Atmosphere
1694,m,atmospheric dynamics,professor,Atmosphere
1695,m,atmospheric dynamics,professor,Atmosphere
1696,m,atmospheric dynamics,professor,Atmosphere
1697,m,atmospheric chemistry,professor,Atmosphere
1698,m,biogeochemistry,professor,Earth
1699,m,atmospheric dynamics,professor,Atmosphere
1700,m,atmospheric dynamics,professor,Atmosphere
1701,m,atmospheric chemistry,professor,Atmosphere
1702,m,climate dynamics,professor,
